Competência	Código da terminologia	Nome da terminologia	Código TUSS	Forma de envio	Data de início de vigência	Data de fim de vigência	Data de fim de implantação	Tipo de Ação
Março/2021	22	Terminologia de procedimentos e eventos em saúde	40602010	PD-L1 - Detecção por técnicas imunoistoquímicas	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	41203216	Radioterapia intra-operatória por elétrons (IOeRT) - por tratamento	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40201341	Consolidado	10/10/2012	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40323986	Consolidado	10/10/2012	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40601170	Consolidado	10/10/2012	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40601170	Individualizado	01/04/2021		31/08/2014	Alterado
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40201341	Individualizado	01/04/2021		31/08/2014	Alterado
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40323986	Individualizado	01/04/2021		31/08/2014	Alterado
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	20104448	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	30102014	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	30715598	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	30918073	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	30912296	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40322572	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40303330	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40324648	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	50001183	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	50001191	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	50001205	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	20104480	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	20104510	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	20204205	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	20204230	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	30101972	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	30208157	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	30909155	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	40602010	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	41203216	Individualizado	01/04/2021		30/06/2021	Incluído
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90003519	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90003527	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90003535	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90003560	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90007026	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90022742	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90055551	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90055560	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90069099	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90072537	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90072618	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90072626	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90078977	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90079396	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90116968	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90118740	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90137213	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90137230	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90175824	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90208005	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90212380	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90212401	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90240677	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90240685	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90250567	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90250575	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90250583	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90250591	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90259106	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90267249	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90267257	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90280628	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90280725	Consolidado	01/12/2013	31/03/2021	31/08/2014	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90297474	Consolidado	01/01/2016	31/03/2021	31/03/2016	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90297482	Consolidado	01/01/2016	31/03/2021	31/03/2016	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90301838	Consolidado	01/01/2016	31/03/2021	31/03/2016	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90312139	Consolidado	01/01/2016	31/03/2021	31/03/2016	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90322860	Consolidado	01/01/2016	31/03/2021	31/03/2016	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90339630	Consolidado	01/06/2016	31/03/2021	31/08/2016	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90352408	Consolidado	01/10/2016	31/03/2021	31/12/2016	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90362187	Consolidado	10/04/2017	31/03/2021	09/07/2017	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90374495	Consolidado	01/01/2018	31/03/2021	31/03/2018	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90395700	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90396901	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90396910	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90396928	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90396936	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90396944	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90396952	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90397070	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90399455	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90399463	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90400089	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90400097	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90400100	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90400119	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90400143	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90400151	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90400160	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90404084	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90404220	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90404246	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90408829	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90408837	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90408845	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90408853	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90409990	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90414993	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90415302	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90415310	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90415957	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90415965	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90415973	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90415981	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90417356	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90417364	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90417372	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420616	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420624	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420632	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420640	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420659	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420667	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420675	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90420683	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90421370	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90424166	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90424174	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90424999	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426002	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426029	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426037	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426045	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426053	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426096	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426100	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90426118	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90427297	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90427300	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90427319	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90427327	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429028	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429052	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429060	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429265	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429273	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429281	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429443	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429451	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429524	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429532	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429540	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90429559	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430255	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430557	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430565	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430620	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430638	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430646	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430654	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430662	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430670	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430689	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430697	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430700	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430719	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430727	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90430735	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90431138	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90431170	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90431189	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90431197	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
Março/2021	64	Terminologia de Forma de Envio de Dados para a ANS	90431200	Consolidado	01/06/2019	31/03/2021	31/08/2019	Inativado por Alteração
